Player,Position,League,MarketValue,ProgressivePasses,Tackles,Interceptions,xG,Age
Leo Diaz,Forward,Serie A,16.34,1.14,0.22,0.18,0.47,27
Leo Costa,Forward,Premier League,18.58,1.52,0.48,0.43,0.08,32
Diego Santos,Forward,Premier League,26.74,0.55,0.34,0.2,0.21,28
Gabriel Garcia,Defender,Bundesliga,4.67,1.61,0.61,0.39,0.37,24
Mateo Lopez,Defender,Premier League,13.13,0.67,0.34,0.25,0.46,31
Hugo Oliveira,Forward,Premier League,3.95,1.13,0.08,0.25,0.34,30
Gabriel Santos,Forward,Ligue 1,25.76,2.17,3.25,0.92,0.08,33
Leo Silva,Forward,Bundesliga,38.71,0.4,2.53,0.68,0.03,18
Hugo Santos,Midfielder,Bundesliga,23.52,1.15,0.43,0.13,0.36,30
Santi Rodriguez,Defender,La Liga,19.18,1.29,0.38,0.14,0.42,31
Hugo Silva,Defender,Serie A,12.96,1.57,3.1,1.98,0.01,31
Mateo Oliveira,Goalkeeper,Bundesliga,10.27,3.62,1.0,2.03,0.15,23
Marco Garcia,Midfielder,Serie A,29.34,1.09,0.24,0.36,0.21,17
Marco Santos,Goalkeeper,La Liga,19.04,1.06,0.3,0.27,0.41,29
Santi Oliveira,Forward,Serie A,33.48,1.02,0.39,1.45,0.14,27
Santi Rodriguez,Defender,Bundesliga,39.92,0.16,0.02,0.04,0.07,20
Enzo Fernandez,Forward,Ligue 1,20.75,0.56,3.68,2.24,0.02,25
Enzo Silva,Goalkeeper,Serie A,12.56,0.89,-0.18,0.43,0.34,33
Enzo Garcia,Forward,La Liga,30.02,2.26,1.47,2.49,0.05,33
Mateo Santos,Forward,La Liga,15.63,2.12,2.2,1.34,0.05,27
Leo Silva,Defender,Premier League,13.39,1.82,3.14,1.28,0.14,20
Diego Lopez,Goalkeeper,Ligue 1,25.3,1.24,2.92,3.31,0.09,26
Hugo Diaz,Goalkeeper,Ligue 1,7.53,0.75,1.97,1.74,0.03,25
Julian Oliveira,Goalkeeper,La Liga,33.37,0.79,0.18,0.08,0.27,33
Gabriel Martinez,Midfielder,Premier League,32.17,2.37,1.22,3.5,0.02,28
Hugo Rodriguez,Midfielder,Ligue 1,1.82,0.73,1.48,1.4,0.06,30
Santi Garcia,Midfielder,Ligue 1,34.23,0.37,3.23,0.6,0.09,25
Enzo Fernandez,Midfielder,Premier League,35.27,2.54,1.19,1.17,0.2,23
Leo Lopez,Goalkeeper,Ligue 1,24.34,1.85,1.82,-0.57,0.01,23
Gabriel Silva,Forward,Premier League,9.75,0.81,2.59,2.81,0.07,27
Hugo Oliveira,Midfielder,Serie A,21.48,1.56,0.62,2.61,0.07,20
Julian Martinez,Forward,Serie A,32.75,0.36,0.39,0.37,0.43,18
Leo Santos,Forward,Bundesliga,32.24,0.91,0.24,0.2,0.48,21
Enzo Rodriguez,Defender,Bundesliga,17.93,1.13,0.53,1.7,0.04,17
Hugo Oliveira,Goalkeeper,La Liga,14.61,1.48,0.31,0.36,0.34,21
Mateo Martinez,Midfielder,La Liga,34.43,3.7,1.37,1.44,0.09,18
Mateo Rodriguez,Defender,Ligue 1,25.15,2.94,1.65,1.89,0.1,32
Mateo Costa,Midfielder,Ligue 1,7.69,4.78,1.85,1.02,0.09,20
Gabriel Martinez,Defender,Premier League,28.79,2.06,3.0,2.04,0.06,33
Mateo Diaz,Forward,La Liga,8.8,1.19,2.41,1.66,0.04,34
Mateo Diaz,Defender,Bundesliga,21.65,3.38,2.45,0.56,0.15,32
Lucas Oliveira,Forward,Premier League,8.51,1.33,3.3,3.19,0.09,34
Hugo Garcia,Goalkeeper,La Liga,24.74,1.03,0.48,0.26,0.21,33
Santi Silva,Forward,Ligue 1,0.85,1.99,2.65,1.52,0.01,28
Gabriel Martinez,Forward,Premier League,38.82,1.88,0.46,2.09,0.02,29
Julian Rodriguez,Midfielder,Ligue 1,16.53,2.7,2.61,2.78,0.06,32
Enzo Rodriguez,Defender,Bundesliga,7.74,1.67,2.47,0.14,0.07,33
Diego Oliveira,Forward,Ligue 1,31.49,2.1,2.37,1.75,0.09,26
Mateo Garcia,Midfielder,Serie A,23.74,0.44,0.21,0.29,0.09,17
Leo Lopez,Defender,Bundesliga,3.46,2.91,3.19,0.85,0.06,22
Marco Diaz,Goalkeeper,Bundesliga,10.41,0.96,3.38,2.51,0.01,33
Leo Garcia,Midfielder,La Liga,13.25,0.4,0.32,0.09,0.17,23
Santi Lopez,Defender,Serie A,39.9,2.9,0.89,0.72,0.04,28
Enzo Fernandez,Defender,Serie A,30.3,2.12,2.72,2.71,0.07,34
Hugo Diaz,Defender,Serie A,3.82,0.6,0.13,0.11,0.12,33
Santi Garcia,Midfielder,Premier League,16.05,0.13,1.65,1.79,0.1,33
Mateo Rodriguez,Midfielder,Bundesliga,3.93,1.95,2.06,1.98,0.06,29
Santi Diaz,Goalkeeper,Bundesliga,7.63,2.23,4.99,2.64,0.02,22
Hugo Fernandez,Forward,Serie A,8.1,0.79,0.46,0.71,0.05,24
Marco Martinez,Midfielder,La Liga,29.46,2.84,1.93,1.36,0.17,34
Julian Costa,Midfielder,Premier League,4.6,1.35,2.5,1.49,0.03,22
Mateo Oliveira,Forward,La Liga,18.0,0.9,2.64,2.34,0.1,17
Julian Silva,Goalkeeper,Bundesliga,29.57,1.99,3.01,3.61,0.06,27
Julian Santos,Defender,Premier League,5.2,1.47,0.2,0.27,-0.23,24
Julian Santos,Forward,La Liga,5.51,0.25,2.44,1.05,0.03,22
Diego Santos,Goalkeeper,Serie A,13.79,1.3,2.41,1.45,0.05,24
Santi Rodriguez,Midfielder,Ligue 1,10.66,2.47,1.27,0.74,0.19,17
Gabriel Santos,Goalkeeper,Premier League,32.75,2.18,2.14,1.66,0.04,29
Leo Silva,Defender,Serie A,24.1,0.62,0.61,0.04,0.47,17
Lucas Silva,Defender,Ligue 1,31.32,1.84,1.99,1.1,0.06,34
Lucas Rodriguez,Goalkeeper,Ligue 1,12.4,0.56,0.1,0.26,0.28,22
Gabriel Rodriguez,Goalkeeper,La Liga,18.14,1.5,1.16,0.6,0.08,29
Leo Diaz,Defender,La Liga,38.46,1.15,2.54,0.44,0.09,17
Santi Rodriguez,Defender,Ligue 1,6.31,0.15,2.15,1.85,0.07,19
Marco Silva,Goalkeeper,Bundesliga,22.02,1.6,2.54,0.87,0.13,29
Diego Costa,Midfielder,Serie A,24.15,3.0,1.14,1.66,0.08,33
Enzo Silva,Goalkeeper,Premier League,10.01,4.49,1.46,1.04,0.14,23
Diego Rodriguez,Forward,Bundesliga,3.27,1.12,1.8,2.97,0.04,28
Leo Santos,Midfielder,La Liga,19.51,1.06,-0.1,0.22,0.42,22
Marco Costa,Midfielder,Bundesliga,17.16,2.02,0.6,1.3,0.09,31
Diego Oliveira,Defender,Bundesliga,9.08,1.01,3.12,2.24,0.05,17
Leo Santos,Forward,Premier League,10.6,0.87,0.24,0.24,0.46,19
Gabriel Martinez,Forward,La Liga,32.34,0.84,3.65,0.68,0.06,22
Marco Costa,Goalkeeper,La Liga,12.11,1.96,-0.09,0.05,0.01,22
Diego Rodriguez,Goalkeeper,La Liga,13.11,3.37,1.06,1.72,0.13,27
Mateo Silva,Forward,Serie A,9.08,2.76,2.28,1.6,0.05,31
Leo Silva,Goalkeeper,La Liga,1.03,1.79,1.16,1.8,0.04,27
Lucas Lopez,Defender,Bundesliga,15.19,1.48,0.24,0.21,0.37,21
Enzo Santos,Forward,Premier League,2.84,2.0,1.02,1.37,0.09,28
Marco Martinez,Forward,Premier League,25.67,2.93,1.47,0.89,0.08,26
Gabriel Oliveira,Goalkeeper,Premier League,30.57,1.16,0.37,0.25,0.12,23
Diego Costa,Defender,Ligue 1,23.09,2.89,1.74,0.79,0.0,31
Julian Silva,Defender,Premier League,20.44,1.54,0.1,1.4,0.06,32
Leo Oliveira,Defender,Serie A,2.77,1.73,2.32,2.77,-0.01,34
Lucas Costa,Defender,Bundesliga,4.63,1.26,-0.08,0.09,0.48,21
Diego Garcia,Goalkeeper,Premier League,37.18,1.89,1.8,0.95,0.04,18
Gabriel Rodriguez,Defender,Serie A,4.12,0.48,0.46,3.01,0.1,30
Lucas Lopez,Midfielder,La Liga,36.46,1.72,0.71,0.26,0.61,34
Diego Costa,Goalkeeper,Premier League,18.87,1.16,0.44,0.27,0.55,20
Mateo Costa,Goalkeeper,Bundesliga,27.65,1.35,0.36,0.31,0.38,34
Enzo Diaz,Forward,La Liga,3.13,2.13,0.99,1.42,0.04,32
Lucas Silva,Goalkeeper,Bundesliga,28.07,0.92,1.7,0.72,0.02,29
Diego Rodriguez,Goalkeeper,Serie A,36.97,4.76,1.69,0.68,0.17,18
Marco Garcia,Defender,La Liga,5.92,0.0,1.62,1.94,0.07,32
Diego Diaz,Defender,Ligue 1,24.5,0.89,3.26,2.31,0.06,18
Gabriel Diaz,Defender,Serie A,5.55,2.04,0.15,0.26,0.39,27
Gabriel Diaz,Midfielder,Bundesliga,9.55,1.32,0.52,0.15,0.42,31
Marco Garcia,Defender,Ligue 1,3.3,3.06,0.73,1.44,-0.0,32
Diego Rodriguez,Defender,La Liga,27.51,1.46,3.12,2.3,0.08,23
Santi Oliveira,Defender,Ligue 1,14.92,-0.67,1.85,0.48,0.07,20
Enzo Fernandez,Midfielder,Serie A,30.94,1.45,3.3,0.13,0.08,18
Leo Oliveira,Goalkeeper,Ligue 1,39.19,1.67,0.42,1.89,0.08,21
Mateo Rodriguez,Goalkeeper,Premier League,19.29,1.28,2.78,1.78,0.1,18
Hugo Santos,Midfielder,La Liga,9.55,1.24,3.22,1.45,0.03,18
Hugo Diaz,Goalkeeper,Ligue 1,9.52,0.14,0.43,0.21,0.42,17
Mateo Martinez,Midfielder,Serie A,35.79,3.35,1.36,0.84,0.19,25
Gabriel Diaz,Midfielder,La Liga,1.26,1.76,2.64,-0.15,0.1,30
Julian Lopez,Defender,Serie A,20.21,1.28,0.28,0.36,0.07,22
Lucas Santos,Goalkeeper,Ligue 1,26.66,1.09,0.45,0.19,0.3,20
Enzo Garcia,Midfielder,Serie A,7.7,1.21,2.49,2.72,0.04,30
Julian Lopez,Forward,Premier League,32.93,2.0,2.5,1.04,0.03,27
Hugo Garcia,Midfielder,Bundesliga,25.3,1.12,-0.07,0.1,0.24,32
Lucas Santos,Forward,Serie A,26.05,1.25,3.3,0.53,0.11,34
Lucas Lopez,Forward,Ligue 1,27.96,1.68,2.39,1.54,0.04,21
Mateo Oliveira,Defender,Premier League,17.81,1.62,0.69,0.83,0.0,28
Enzo Lopez,Forward,Ligue 1,19.36,1.88,2.27,0.82,0.05,22
Lucas Oliveira,Forward,Serie A,6.72,2.14,2.45,0.75,0.12,19
Julian Costa,Goalkeeper,La Liga,15.98,3.73,2.13,0.35,0.08,20
Lucas Santos,Forward,Serie A,27.13,1.36,1.94,1.24,0.02,26
Santi Rodriguez,Defender,La Liga,27.95,3.39,1.79,1.08,0.13,31
Hugo Garcia,Forward,Bundesliga,12.71,0.74,3.02,0.06,0.03,31
Enzo Fernandez,Midfielder,Bundesliga,19.79,1.86,2.21,0.98,0.06,25
Julian Martinez,Goalkeeper,Bundesliga,3.2,-0.62,0.36,0.09,0.52,22
Lucas Fernandez,Midfielder,Premier League,20.18,2.41,1.61,1.18,0.09,30
Diego Silva,Midfielder,Bundesliga,18.61,1.05,1.36,2.42,0.05,34
Lucas Fernandez,Midfielder,Premier League,0.73,1.4,3.03,-0.18,0.08,23
Marco Oliveira,Forward,La Liga,16.37,0.97,-0.04,0.31,0.2,28
Gabriel Oliveira,Goalkeeper,Ligue 1,29.3,1.26,3.8,1.73,0.03,23
Leo Oliveira,Defender,Serie A,1.03,0.75,1.33,1.71,0.06,18
Hugo Rodriguez,Forward,Premier League,12.49,1.96,2.15,0.05,0.07,22
Lucas Martinez,Goalkeeper,Ligue 1,8.53,2.62,-0.86,0.45,0.19,23
Julian Rodriguez,Goalkeeper,Bundesliga,2.73,1.82,2.54,1.63,0.15,28
Leo Costa,Forward,Bundesliga,23.68,1.35,2.88,1.52,0.06,21
Santi Garcia,Defender,Bundesliga,25.6,1.63,0.77,2.06,0.08,27
Marco Fernandez,Forward,La Liga,19.66,1.57,3.06,1.16,0.02,31
Lucas Diaz,Midfielder,Ligue 1,10.53,1.37,0.55,0.24,0.32,33
Julian Oliveira,Midfielder,La Liga,13.72,0.91,0.22,0.17,0.49,29
Enzo Oliveira,Defender,Ligue 1,9.55,2.19,2.46,1.33,0.03,17
Leo Diaz,Forward,La Liga,33.64,0.78,0.26,0.07,0.35,23
Santi Martinez,Midfielder,Premier League,38.72,1.96,3.1,2.4,0.05,21
Diego Costa,Goalkeeper,Serie A,8.04,1.06,1.96,1.44,0.1,24
Gabriel Rodriguez,Goalkeeper,Premier League,9.0,1.92,1.24,1.02,0.04,20
Santi Oliveira,Midfielder,La Liga,3.53,0.72,0.24,0.38,0.47,27
Santi Fernandez,Defender,Bundesliga,10.99,0.88,1.27,1.29,0.04,19
Hugo Silva,Goalkeeper,Bundesliga,12.01,2.1,4.07,1.88,0.01,21
Hugo Lopez,Midfielder,Ligue 1,32.1,1.21,2.24,0.94,0.1,24
Leo Santos,Goalkeeper,Ligue 1,1.03,2.22,1.78,2.28,0.05,26
Julian Fernandez,Defender,Serie A,11.75,2.39,1.5,1.46,0.07,28
Lucas Costa,Goalkeeper,Bundesliga,32.0,3.34,0.68,0.65,0.14,23
Lucas Diaz,Goalkeeper,Bundesliga,35.93,0.98,2.22,1.24,0.03,31
Marco Garcia,Goalkeeper,Bundesliga,31.5,1.06,3.02,1.03,0.03,18
Diego Lopez,Midfielder,Ligue 1,33.03,1.7,3.21,2.28,0.04,33
Leo Oliveira,Goalkeeper,Ligue 1,15.52,1.71,1.5,2.64,0.03,17
Enzo Santos,Defender,Premier League,39.22,1.69,5.27,1.02,0.05,17
Marco Lopez,Forward,Bundesliga,14.82,0.83,0.07,0.24,0.54,17
Leo Costa,Goalkeeper,Bundesliga,9.99,1.96,0.36,0.32,0.5,19
Leo Costa,Forward,La Liga,6.72,3.1,0.66,1.59,0.12,18
Enzo Costa,Midfielder,Premier League,32.43,1.34,2.01,2.16,0.1,19
Santi Diaz,Midfielder,La Liga,24.74,1.46,2.19,2.29,0.03,18
Santi Fernandez,Midfielder,Serie A,18.17,0.11,3.57,1.37,0.08,33
Mateo Garcia,Forward,La Liga,6.87,1.19,1.2,1.96,0.04,17
Gabriel Santos,Midfielder,Serie A,22.36,0.32,0.69,0.28,0.45,34
Marco Garcia,Defender,Serie A,22.85,1.08,1.87,2.22,0.0,33
Diego Garcia,Goalkeeper,La Liga,23.05,2.08,1.35,0.87,0.09,23
Lucas Lopez,Goalkeeper,Bundesliga,24.69,0.68,1.78,2.71,0.03,34
Marco Fernandez,Goalkeeper,Premier League,14.9,3.26,1.97,0.85,0.12,26
Hugo Fernandez,Midfielder,Ligue 1,37.42,1.48,1.86,2.44,0.07,30
Lucas Costa,Defender,Bundesliga,31.23,1.34,1.85,0.92,0.06,33
Lucas Garcia,Defender,Serie A,37.93,1.34,2.22,2.52,0.04,32
Mateo Costa,Forward,La Liga,14.57,2.13,2.89,3.4,0.03,19
Hugo Costa,Midfielder,Premier League,12.2,1.37,0.58,1.14,0.04,19
Gabriel Martinez,Forward,Serie A,35.49,1.46,1.63,3.0,0.06,20
Hugo Rodriguez,Goalkeeper,Serie A,30.3,1.53,0.53,0.12,0.21,24
Julian Fernandez,Forward,La Liga,28.74,1.44,0.2,0.23,0.31,21
Leo Costa,Goalkeeper,Premier League,37.64,1.68,0.07,1.09,0.04,23
Lucas Diaz,Goalkeeper,Bundesliga,34.32,0.38,2.23,0.86,0.12,26
Julian Fernandez,Forward,Premier League,31.31,1.01,0.61,0.31,0.2,19
Mateo Santos,Midfielder,Serie A,18.27,2.45,3.4,0.06,0.03,19
Enzo Oliveira,Forward,Premier League,26.68,1.26,4.13,1.64,0.02,27
Santi Santos,Forward,La Liga,35.33,1.1,0.27,0.41,0.34,19
Mateo Garcia,Midfielder,Serie A,9.24,1.4,2.45,2.12,0.03,21
Leo Silva,Goalkeeper,Premier League,19.78,2.44,0.8,1.07,0.08,19
Lucas Fernandez,Forward,Ligue 1,16.59,0.85,1.23,1.45,0.2,31
Diego Lopez,Forward,Bundesliga,18.31,1.75,1.84,4.35,0.06,18
Diego Garcia,Midfielder,La Liga,5.82,1.72,2.74,1.38,0.07,31
Gabriel Oliveira,Defender,Premier League,25.36,0.76,3.19,1.57,0.04,34
Hugo Silva,Goalkeeper,Premier League,25.21,3.28,1.99,1.41,0.13,33
Gabriel Rodriguez,Midfielder,La Liga,35.28,-0.2,1.46,1.53,0.04,21
Enzo Garcia,Defender,Premier League,34.07,1.62,1.67,1.76,0.02,30
Leo Silva,Defender,Serie A,17.46,1.84,1.15,0.53,0.03,33
Santi Silva,Forward,La Liga,7.16,2.34,3.28,2.46,0.03,33
Santi Rodriguez,Midfielder,Serie A,39.41,0.53,0.43,0.27,0.4,20
Enzo Silva,Defender,Serie A,19.54,1.97,2.45,0.38,0.04,20
Gabriel Diaz,Defender,Serie A,28.85,1.83,4.08,1.22,0.07,26
Julian Fernandez,Defender,Serie A,25.72,1.71,0.6,0.18,0.43,33
Mateo Lopez,Goalkeeper,Ligue 1,35.04,1.44,0.24,0.08,0.58,18
Gabriel Rodriguez,Goalkeeper,Serie A,16.25,1.0,3.03,1.82,0.07,19
Gabriel Santos,Midfielder,La Liga,15.01,1.05,2.7,3.1,0.01,26
Hugo Lopez,Goalkeeper,Bundesliga,1.31,1.17,2.03,1.25,0.1,18
Gabriel Diaz,Forward,Ligue 1,13.26,1.93,2.83,3.07,0.05,33
Santi Diaz,Goalkeeper,Premier League,19.13,2.51,0.65,1.79,-0.0,22
Hugo Rodriguez,Forward,Bundesliga,0.66,4.62,1.77,0.94,0.11,26
Gabriel Lopez,Defender,Premier League,24.58,0.62,0.2,0.24,0.17,24
Diego Costa,Goalkeeper,Bundesliga,34.78,1.31,1.07,1.67,-0.02,21
Enzo Diaz,Goalkeeper,Premier League,14.03,1.57,1.1,1.42,0.07,23
Lucas Diaz,Goalkeeper,Premier League,39.13,0.89,1.45,1.47,0.04,20
Gabriel Garcia,Midfielder,Bundesliga,24.19,2.28,2.0,1.28,0.04,17
Mateo Santos,Defender,Premier League,24.75,2.98,1.26,1.71,0.12,34
Enzo Silva,Defender,Serie A,16.22,1.73,0.5,1.05,0.11,21
Leo Fernandez,Defender,Premier League,39.96,2.82,1.67,2.17,0.01,20
Santi Santos,Defender,Ligue 1,15.97,0.73,0.24,0.2,0.55,19
Santi Rodriguez,Defender,Ligue 1,38.78,3.03,1.98,2.25,0.03,18
Hugo Martinez,Forward,Serie A,38.88,1.97,2.09,0.59,0.04,18
Gabriel Diaz,Goalkeeper,Ligue 1,35.2,1.57,0.14,0.33,0.69,23
Mateo Santos,Forward,Serie A,37.82,0.31,1.2,-0.01,0.02,29
Hugo Oliveira,Midfielder,Serie A,1.55,1.41,3.8,1.36,-0.0,20
Gabriel Silva,Defender,La Liga,34.72,1.27,1.43,1.95,0.04,20
Mateo Diaz,Forward,Serie A,8.11,0.41,-0.37,0.16,0.43,22
Hugo Fernandez,Midfielder,Bundesliga,30.28,1.9,1.57,2.42,0.09,34
Lucas Costa,Midfielder,La Liga,23.19,3.63,1.6,2.18,0.03,33
Leo Costa,Forward,Serie A,9.12,-0.67,3.37,1.18,0.05,18
Hugo Diaz,Defender,La Liga,28.94,0.8,0.32,0.08,0.36,17
Julian Lopez,Defender,Premier League,1.82,3.23,2.87,2.61,0.07,29
Gabriel Santos,Midfielder,Serie A,1.15,0.38,0.31,0.05,0.31,29
Lucas Rodriguez,Forward,Serie A,16.63,1.03,3.13,0.04,0.05,22
Mateo Martinez,Midfielder,Serie A,17.83,2.13,3.0,1.04,0.05,31
Gabriel Silva,Forward,La Liga,24.53,0.49,0.13,0.23,0.53,30
Gabriel Garcia,Midfielder,Bundesliga,18.52,0.98,0.19,0.27,0.39,33
Marco Santos,Goalkeeper,Serie A,32.34,1.71,1.84,3.81,0.09,22
Julian Silva,Goalkeeper,Bundesliga,39.77,2.03,3.32,2.9,0.03,21
Enzo Diaz,Midfielder,Bundesliga,15.85,2.19,3.2,1.12,0.05,24
Enzo Oliveira,Defender,Premier League,3.31,1.05,0.3,0.15,0.36,30
Julian Rodriguez,Forward,Bundesliga,18.55,0.97,3.03,2.6,0.05,18
Enzo Silva,Forward,Premier League,1.6,1.19,1.68,1.53,0.13,26
Marco Rodriguez,Defender,Bundesliga,27.86,1.52,1.63,2.09,0.08,32
Lucas Rodriguez,Midfielder,Premier League,22.48,0.73,2.64,3.63,0.03,34
Hugo Rodriguez,Goalkeeper,Premier League,10.1,2.1,3.3,2.3,0.05,24
Marco Garcia,Goalkeeper,Premier League,32.09,1.26,2.58,2.27,0.07,34
Enzo Rodriguez,Defender,Ligue 1,0.95,0.09,2.39,3.0,0.07,17
Diego Silva,Defender,Serie A,20.76,2.96,1.77,1.92,0.15,29
Mateo Costa,Forward,Serie A,1.54,2.57,3.47,1.27,-0.01,33
Hugo Fernandez,Goalkeeper,Ligue 1,27.21,3.28,1.51,1.86,0.08,24
Hugo Silva,Defender,Bundesliga,37.96,1.33,2.62,3.29,0.02,28
Gabriel Rodriguez,Midfielder,Premier League,31.62,1.59,2.67,3.14,0.05,17
Santi Costa,Forward,Serie A,36.65,2.08,1.55,2.18,0.07,19
Gabriel Santos,Goalkeeper,Bundesliga,1.78,1.21,1.19,1.38,0.01,18
Santi Martinez,Midfielder,Premier League,33.3,1.44,2.71,0.79,0.12,34
Hugo Rodriguez,Goalkeeper,Serie A,13.56,3.7,1.53,1.31,0.09,32
Enzo Santos,Defender,Serie A,32.62,3.28,1.46,1.27,0.15,20
Enzo Silva,Defender,Premier League,17.18,1.37,1.69,2.91,0.08,31
Leo Silva,Goalkeeper,Bundesliga,17.01,0.42,0.44,1.25,0.06,26
Hugo Diaz,Defender,Serie A,32.48,0.83,0.04,0.2,0.36,17
Mateo Silva,Defender,Serie A,27.62,3.88,1.54,1.53,0.07,25
Lucas Garcia,Defender,Serie A,11.79,2.49,1.76,0.61,0.11,23
Marco Oliveira,Midfielder,La Liga,9.01,0.79,0.64,0.29,0.38,30
Leo Silva,Defender,Premier League,7.51,1.48,2.02,1.84,0.04,24
Hugo Costa,Midfielder,Premier League,35.79,2.24,3.33,1.0,0.09,22
Julian Silva,Goalkeeper,Premier League,29.32,1.71,2.74,2.89,-0.03,23
Santi Silva,Forward,Bundesliga,2.71,3.84,1.4,1.17,0.05,23
Gabriel Martinez,Midfielder,Ligue 1,10.87,2.71,0.9,0.75,0.15,17
Diego Santos,Midfielder,Ligue 1,26.79,2.93,2.18,0.6,0.1,27
Hugo Rodriguez,Forward,Premier League,37.53,2.19,1.09,1.64,0.06,33
Marco Costa,Goalkeeper,Bundesliga,39.42,1.95,3.2,1.13,0.06,22
Marco Diaz,Defender,Premier League,19.18,1.18,2.93,1.57,0.08,27
Mateo Martinez,Defender,Premier League,13.56,2.32,0.45,1.52,0.02,19
Julian Martinez,Defender,Serie A,22.08,2.08,0.23,2.08,0.07,31
Santi Martinez,Defender,Ligue 1,23.09,1.91,2.51,0.47,0.08,23
Gabriel Diaz,Midfielder,La Liga,6.0,0.94,0.42,0.17,0.51,30
Gabriel Diaz,Defender,Premier League,39.77,2.24,2.24,3.19,-0.0,24
