Player,Age,Position,League,MarketValue,scaled_ProgressivePasses,scaled_Tackles,scaled_Interceptions,scaled_xG,Role_ID,TacticalRole
Diego Fernandez,30,Forward,Serie A,11.51,-0.3987246394525705,1.334269973839652,1.961187259237199,-0.3668612141831562,0,Ball Winning Midfielder
Enzo Costa,17,Midfielder,Premier League,8.19,0.6584463908620574,1.2282984357757445,2.476459310364646,-0.6053925628067948,0,Ball Winning Midfielder
Lucas Lopez,20,Defender,Bundesliga,11.78,-1.0430955531681534,-0.2288102126029874,2.187906961733276,-0.6053925628067948,0,Ball Winning Midfielder
Mateo Martinez,30,Defender,Serie A,22.46,0.6483780953352516,2.0760707402870064,-0.1205118273176873,-0.4264940513390658,0,Ball Winning Midfielder
Enzo Silva,19,Forward,Premier League,13.16,0.1449633189949525,0.6542859379295772,-0.0277628581147468,-0.0090641912476983,2,Clinical Finisher
Santi Santos,17,Forward,Ligue 1,2.99,2.359988334892269,-0.2464721356136387,1.1161410953881858,-0.1879627027154273,3,Ball Playing Defender
Leo Silva,23,Midfielder,Ligue 1,26.92,0.5275585490135797,-1.2355398242101112,-1.1613613705951304,1.3624910633382232,1,Deep Lying Playmaker
Julian Diaz,34,Goalkeeper,Serie A,0.66,-0.076539182594779,-1.2796946317367397,-1.1201396065049347,3.1514761780155127,1,Deep Lying Playmaker
Marco Fernandez,22,Forward,Premier League,38.38,-1.687466466883736,0.3187094007272025,0.7657561006215216,-0.7842910742745237,2,Clinical Finisher
Santi Diaz,24,Forward,Ligue 1,18.46,1.5545246927477898,-0.4230913657201516,-0.6254784374225855,-0.4861268884949754,3,Ball Playing Defender
Enzo Santos,28,Goalkeeper,La Liga,33.09,0.1348950234681465,-0.0168671364751718,-0.3575369708363129,-0.1283298655595176,2,Clinical Finisher
Mateo Garcia,26,Forward,Ligue 1,14.29,1.000768438773461,0.8485670910467412,-0.532729468219645,-0.1283298655595176,3,Ball Playing Defender
Hugo Diaz,19,Forward,Serie A,12.71,0.0342120682000866,-1.244370785715437,-1.2025831346853262,1.7799209234295907,1,Deep Lying Playmaker
Hugo Lopez,27,Midfielder,Premier League,24.54,-0.2376319110236748,-1.164892132167506,-1.1098341654823858,1.95881943489732,1,Deep Lying Playmaker
Hugo Lopez,18,Forward,Ligue 1,14.5,0.1046901368877285,0.6896097839508799,-0.5018131451519982,-0.6053925628067948,2,Clinical Finisher
Leo Diaz,27,Forward,Serie A,16.34,-0.5094758902474363,-1.191385016683483,-1.1201396065049347,1.89918659774141,1,Deep Lying Playmaker
Leo Costa,32,Forward,Premier League,18.58,-0.126880660228809,-0.961780017545016,-0.8625035809412113,-0.4264940513390658,2,Clinical Finisher
Diego Santos,28,Forward,Premier League,26.74,-1.1035053263289891,-1.085413478619575,-1.0995287244598368,0.3487328316877594,1,Deep Lying Playmaker
Gabriel Garcia,24,Defender,Bundesliga,4.67,-0.036266000487555,-0.8469775179757827,-0.9037253450314068,1.3028582261823136,1,Deep Lying Playmaker
Mateo Lopez,31,Defender,Premier League,13.13,-0.9826857800073172,-1.085413478619575,-1.0480015193470922,1.8395537605855004,1,Deep Lying Playmaker
Hugo Oliveira,30,Forward,Premier League,3.95,-0.5195441857742423,-1.3150184777580418,-1.0480015193470922,1.123959714714585,1,Deep Lying Playmaker
Gabriel Santos,33,Forward,Ligue 1,25.76,0.5275585490135797,1.484396319430188,-0.3575369708363129,-0.4264940513390658,0,Ball Winning Midfielder
Leo Silva,18,Forward,Bundesliga,38.71,-1.254529759231079,0.8485670910467412,-0.6048675553774875,-0.724658237118614,2,Clinical Finisher
Hugo Santos,30,Midfielder,Bundesliga,23.52,-0.4994075947206304,-1.0059348250716444,-1.1716668116176796,1.243225389026404,1,Deep Lying Playmaker
Santi Rodriguez,31,Defender,La Liga,19.18,-0.3584514573453465,-1.0500896325982725,-1.1613613705951304,1.6010224119618617,1,Deep Lying Playmaker
Hugo Silva,31,Defender,Serie A,12.96,-0.076539182594779,1.3519318968503031,0.734839777553875,-0.8439239114304332,0,Ball Winning Midfielder
Mateo Oliveira,23,Goalkeeper,Bundesliga,10.27,1.9874614004004472,-0.5025700192680825,0.7863669826666194,-0.0090641912476983,3,Ball Playing Defender
Marco Garcia,17,Midfielder,Serie A,29.34,-0.5598173678814661,-1.1737230936728316,-0.9346416680990538,0.3487328316877594,1,Deep Lying Playmaker
Marco Santos,29,Goalkeeper,La Liga,19.04,-0.590022254461884,-1.1207373246408776,-1.0273906373019943,1.5413895748059518,1,Deep Lying Playmaker
Santi Oliveira,27,Forward,Serie A,33.48,-0.630295436569108,-1.041258671092947,0.1886514033587809,-0.0686970284036079,2,Clinical Finisher
Santi Rodriguez,20,Defender,Bundesliga,39.92,-1.4961688518744225,-1.3680042467899958,-1.2644157808206198,-0.4861268884949754,2,Clinical Finisher
Enzo Fernandez,25,Forward,Ligue 1,20.75,-1.0934370308021832,1.8641276641591904,1.0027812441401476,-0.7842910742745237,0,Ball Winning Midfielder
Enzo Silva,33,Goalkeeper,Serie A,12.56,-0.7611832784175858,-1.5446234768965088,-0.8625035809412113,1.123959714714585,1,Deep Lying Playmaker
Enzo Garcia,33,Forward,La Liga,30.02,0.6181732087548334,-0.0875148285177771,1.2604172697038711,-0.6053925628067948,0,Ball Winning Midfielder
Mateo Santos,27,Forward,La Liga,15.63,0.4772170713795499,0.5571453613709952,0.0752915521107427,-0.6053925628067948,2,Clinical Finisher
Leo Silva,20,Defender,Premier League,13.39,0.1751682055753704,1.387255742871606,0.0134589059754489,-0.0686970284036079,0,Ball Winning Midfielder
Diego Lopez,26,Goalkeeper,Ligue 1,25.3,-0.4087929349793764,1.1929745897544417,2.105463433552885,-0.3668612141831562,0,Ball Winning Midfielder
Hugo Diaz,25,Goalkeeper,Ligue 1,7.53,-0.9021394157928696,0.3540332467485051,0.4875091930127003,-0.724658237118614,2,Clinical Finisher
Julian Oliveira,33,Goalkeeper,La Liga,33.37,-0.8618662336856456,-1.2267088627047855,-1.223194016730424,0.7065298546232174,1,Deep Lying Playmaker
Gabriel Martinez,28,Midfielder,Premier League,32.17,0.7289244595496995,-0.3082888661509183,2.3012668129813143,-0.7842910742745237,0,Ball Winning Midfielder
Hugo Rodriguez,30,Midfielder,Ligue 1,1.82,-0.9222760068464816,-0.0786838670124514,0.1371241982460362,-0.5457597256508852,2,Clinical Finisher
Santi Garcia,25,Midfielder,Ligue 1,34.23,-1.2847346458114968,1.4667343964195367,-0.6873110835578792,-0.3668612141831562,2,Clinical Finisher
Enzo Fernandez,23,Midfielder,Premier League,35.27,0.9000854835054011,-0.3347817506668952,-0.0999009452725894,0.2890999945318498,3,Ball Playing Defender
Leo Lopez,23,Goalkeeper,Ligue 1,24.34,0.2053730921557884,0.2215688241686206,-1.8930476831961047,-0.8439239114304332,2,Clinical Finisher
Gabriel Silva,27,Forward,Premier League,9.75,-0.8417296426320336,0.9015528600786952,1.5901913824254372,-0.4861268884949754,0,Ball Winning Midfielder
Hugo Oliveira,20,Midfielder,Serie A,21.48,-0.086607478121585,-0.8381465564704571,1.384082561974458,-0.4861268884949754,2,Clinical Finisher
Julian Martinez,18,Forward,Serie A,32.75,-1.2948029413383029,-1.041258671092947,-0.9243362270765048,1.6606552491177713,1,Deep Lying Playmaker
Leo Santos,21,Forward,Bundesliga,32.24,-0.7410466873639738,-1.1737230936728316,-1.0995287244598368,1.95881943489732,1,Deep Lying Playmaker
Enzo Rodriguez,17,Defender,Bundesliga,17.93,-0.5195441857742423,-0.9176252100183878,0.4462874289225045,-0.6650253999627043,2,Clinical Finisher
Hugo Oliveira,21,Goalkeeper,La Liga,14.61,-0.1671538423360329,-1.111906363135552,-0.9346416680990538,1.123959714714585,1,Deep Lying Playmaker
Mateo Martinez,18,Midfielder,La Liga,34.43,2.068007764614895,-0.1758244435710334,0.1783459623362319,-0.3668612141831562,3,Ball Playing Defender
Mateo Rodriguez,32,Defender,Ligue 1,25.15,1.3028173045776403,0.0714424785780844,0.6420908083509344,-0.3072283770272465,3,Ball Playing Defender
Mateo Costa,20,Midfielder,Ligue 1,7.69,3.155383681509941,0.2480617086845975,-0.2544825606108235,-0.3668612141831562,3,Ball Playing Defender
Gabriel Martinez,33,Defender,Premier League,28.79,0.416807298218714,1.2636222817970468,0.7966724236891687,-0.5457597256508852,0,Ball Winning Midfielder
Mateo Diaz,34,Forward,La Liga,8.8,-0.4591344126134064,0.7425955529828338,0.4050656648323087,-0.6650253999627043,0,Ball Winning Midfielder
Mateo Diaz,32,Defender,Bundesliga,21.65,1.7458223077571031,0.7779193990041364,-0.7285328476480748,-0.0090641912476983,3,Ball Playing Defender
Lucas Oliveira,34,Forward,Premier League,8.51,-0.3181782752381226,1.528551126956816,1.981798141282297,-0.3668612141831562,0,Ball Winning Midfielder
Hugo Garcia,33,Goalkeeper,La Liga,24.74,-0.620227141042302,-0.961780017545016,-1.0376960783245432,0.3487328316877594,1,Deep Lying Playmaker
Santi Silva,28,Forward,Ligue 1,0.85,0.3463292295310721,0.9545386291106492,0.2607894905166236,-0.8439239114304332,0,Ball Winning Midfielder
Gabriel Martinez,29,Forward,Premier League,38.82,0.2355779787362062,-0.9794419405556676,0.8481996288019131,-0.7842910742745237,2,Clinical Finisher
Julian Rodriguez,32,Midfielder,Ligue 1,16.53,1.061178211934297,0.9192147830893465,1.5592750593577902,-0.5457597256508852,0,Ball Winning Midfielder
Enzo Rodriguez,33,Defender,Bundesliga,7.74,0.0241437726732806,0.7955813220147877,-1.1613613705951304,-0.4861268884949754,2,Clinical Finisher
Diego Oliveira,26,Forward,Ligue 1,31.49,0.4570804803259379,0.7072717069615312,0.4978146340352493,-0.3668612141831562,0,Ball Winning Midfielder
Mateo Garcia,17,Midfielder,Serie A,23.74,-1.214256577123855,-1.2002159781888089,-1.0067797552568962,-0.3668612141831562,2,Clinical Finisher
Leo Lopez,22,Defender,Bundesliga,3.46,1.2726124179972225,1.431410550398234,-0.4296750579941555,-0.5457597256508852,3,Ball Playing Defender
Marco Diaz,33,Goalkeeper,Bundesliga,10.41,-0.690705209729944,1.5991988189994213,1.2810281517489688,-0.8439239114304332,0,Ball Winning Midfielder
Leo Garcia,23,Midfielder,La Liga,13.25,-1.254529759231079,-1.1030754016302264,-1.2128885757078751,0.1102014830641209,1,Deep Lying Playmaker
Santi Lopez,28,Defender,Serie A,39.9,1.2625441224704164,-0.5997105958266646,-0.5636457912872919,-0.6650253999627043,3,Ball Playing Defender
Enzo Fernandez,34,Defender,Serie A,30.3,0.4772170713795499,1.016355359647929,1.4871369721999477,-0.4861268884949754,0,Ball Winning Midfielder
Hugo Diaz,33,Defender,Serie A,3.82,-1.0531638486949593,-1.2708636702314136,-1.1922776936627772,-0.1879627027154273,2,Clinical Finisher
Santi Garcia,33,Midfielder,Premier League,16.05,-1.5263737384548404,0.0714424785780844,0.539036398125445,-0.3072283770272465,2,Clinical Finisher
Mateo Rodriguez,29,Midfielder,Bundesliga,3.93,0.3060560474238481,0.4335119002964361,0.734839777553875,-0.5457597256508852,0,Ball Winning Midfielder
Santi Diaz,22,Goalkeeper,Bundesliga,7.63,0.5879683221744156,3.0209836213568506,1.4149988850421054,-0.7842910742745237,0,Ball Winning Midfielder
Hugo Fernandez,24,Forward,Serie A,8.1,-0.8618662336856456,-0.9794419405556676,-0.5739512323098408,-0.6053925628067948,2,Clinical Finisher
Marco Martinez,34,Midfielder,La Liga,29.46,1.2021343493095804,0.3187094007272025,0.0959024341558406,0.1102014830641209,3,Ball Playing Defender
Julian Costa,22,Midfielder,Premier League,4.6,-0.2980416841845106,0.8220742065307645,0.2298731674489767,-0.724658237118614,0,Ball Winning Midfielder
Mateo Oliveira,17,Forward,La Liga,18.0,-0.7511149828907798,0.9457076676053237,1.105835654365637,-0.3072283770272465,0,Ball Winning Midfielder
Julian Silva,27,Goalkeeper,Bundesliga,29.57,0.3463292295310721,1.2724532433023723,2.414626664229353,-0.5457597256508852,0,Ball Winning Midfielder
Julian Santos,24,Defender,Premier League,5.2,-0.1772221378628389,-1.2090469396941343,-1.0273906373019943,-2.2751120031722647,2,Clinical Finisher
Julian Santos,22,Forward,La Liga,5.51,-1.405554192133169,0.7690884374988105,-0.2235662375431766,-0.724658237118614,2,Clinical Finisher
Diego Santos,24,Goalkeeper,Serie A,13.79,-0.3483831618185405,0.7425955529828338,0.1886514033587809,-0.6053925628067948,2,Clinical Finisher
Santi Rodriguez,17,Midfielder,Ligue 1,10.66,0.8296074148177593,-0.26413405862429,-0.5430349092421939,0.2294671573759402,3,Ball Playing Defender
Gabriel Santos,29,Goalkeeper,Premier League,32.75,0.5376268445403859,0.5041595923390413,0.4050656648323087,-0.6650253999627043,0,Ball Winning Midfielder
Leo Silva,17,Defender,Serie A,24.1,-1.0330272576413473,-0.8469775179757827,-1.2644157808206198,1.89918659774141,1,Deep Lying Playmaker
Lucas Silva,34,Defender,Ligue 1,31.32,0.1953047966289824,0.3716951697591565,-0.1720390324304319,-0.5457597256508852,2,Clinical Finisher
Lucas Rodriguez,22,Goalkeeper,Ligue 1,12.4,-1.0934370308021832,-1.2973565547473906,-1.0376960783245432,0.7661626917791271,1,Deep Lying Playmaker
Gabriel Rodriguez,29,Goalkeeper,La Liga,18.14,-0.1470172512824209,-0.3612746351828722,-0.6873110835578792,-0.4264940513390658,2,Clinical Finisher
Leo Diaz,17,Defender,La Liga,38.46,-0.4994075947206304,0.8573980525520671,-0.8521981399186622,-0.3668612141831562,2,Clinical Finisher
Santi Rodriguez,19,Defender,Ligue 1,6.31,-1.5062371474012284,0.5129905538443668,0.6008690442607387,-0.4861268884949754,2,Clinical Finisher
Marco Silva,29,Goalkeeper,Bundesliga,22.02,-0.046334296014361,0.8573980525520671,-0.4090641759490577,-0.1283298655595176,2,Clinical Finisher
Diego Costa,33,Midfielder,Serie A,24.15,1.363227077738476,-0.3789365581935235,0.4050656648323087,-0.4264940513390658,3,Ball Playing Defender
Enzo Silva,23,Goalkeeper,Premier League,10.01,2.8634031112325675,-0.0963457900231027,-0.2338716785657256,-0.0686970284036079,3,Ball Playing Defender
Diego Rodriguez,28,Forward,Bundesliga,3.27,-0.5296124813010481,0.2039069011579692,1.7550784387862204,-0.6650253999627043,0,Ball Winning Midfielder
Leo Santos,22,Midfielder,La Liga,19.51,-0.590022254461884,-1.4739757848539037,-1.078917842414739,1.6010224119618617,1,Deep Lying Playmaker
Marco Costa,31,Midfielder,Bundesliga,17.16,0.37653411611149,-0.8558084794811084,0.0340697880205468,-0.3668612141831562,2,Clinical Finisher
Diego Oliveira,17,Defender,Bundesliga,9.08,-0.640363732095914,1.3695938198609547,1.0027812441401476,-0.6053925628067948,0,Ball Winning Midfielder
Leo Santos,19,Forward,Premier League,10.6,-0.7813198694711978,-1.1737230936728316,-1.0583069603696411,1.8395537605855004,1,Deep Lying Playmaker
Gabriel Martinez,22,Forward,La Liga,32.34,-0.8115247560516158,1.837634779643213,-0.6048675553774875,-0.5457597256508852,2,Clinical Finisher
Marco Costa,22,Goalkeeper,La Liga,12.11,0.3161243429506541,-1.465144823348578,-1.2541103397980709,-0.8439239114304332,2,Clinical Finisher
Diego Rodriguez,27,Goalkeeper,La Liga,13.11,1.7357540122302977,-0.4495842502361286,0.4668983109676024,-0.1283298655595176,3,Ball Playing Defender
Mateo Silva,31,Forward,Serie A,9.08,1.1215879850951325,0.6277930534136,0.3432330186970152,-0.6053925628067948,3,Ball Playing Defender
Leo Silva,27,Goalkeeper,La Liga,1.03,0.1449633189949525,-0.3612746351828722,0.5493418391479941,-0.6650253999627043,2,Clinical Finisher
Lucas Lopez,21,Defender,Bundesliga,15.19,-0.1671538423360329,-1.1737230936728316,-1.089223283437288,1.3028582261823136,1,Deep Lying Playmaker
Enzo Santos,28,Forward,Premier League,2.84,0.3563975250578781,-0.4849080962574312,0.1062078751783895,-0.3668612141831562,2,Clinical Finisher
Marco Martinez,26,Forward,Premier League,25.67,1.2927490090508345,-0.0875148285177771,-0.3884532939039598,-0.4264940513390658,3,Ball Playing Defender
Gabriel Oliveira,23,Goalkeeper,Premier League,30.57,-0.4893392991938244,-1.0589205941035984,-1.0480015193470922,-0.1879627027154273,2,Clinical Finisher
Diego Costa,31,Defender,Ligue 1,23.09,1.2524758269436105,0.1509211321260153,-0.4915077041294491,-0.9035567485863428,3,Ball Playing Defender
Julian Silva,32,Defender,Premier League,20.44,-0.106744069175197,-1.2973565547473906,0.1371241982460362,-0.5457597256508852,2,Clinical Finisher
Leo Oliveira,34,Defender,Serie A,2.77,0.0845535458341165,0.6631168994349027,1.5489696183352415,-0.9631895857422526,0,Ball Winning Midfielder
Lucas Costa,21,Defender,Bundesliga,4.63,-0.3886563439257645,-1.4563138618432525,-1.2128885757078751,1.95881943489732,1,Deep Lying Playmaker
Diego Garcia,18,Goalkeeper,Premier League,37.18,0.2456462742630122,0.2039069011579692,-0.3266206477686662,-0.6650253999627043,2,Clinical Finisher
Gabriel Rodriguez,30,Defender,Serie A,4.12,-1.173983395016631,-0.9794419405556676,1.796300202876416,-0.3072283770272465,2,Clinical Finisher
Lucas Lopez,34,Midfielder,La Liga,36.46,0.0744852503073105,-0.7586679029225263,-1.0376960783245432,2.734046317924145,1,Deep Lying Playmaker
Diego Costa,20,Goalkeeper,Premier League,18.87,-0.4893392991938244,-0.9971038635663187,-1.0273906373019943,2.376249294988688,1,Deep Lying Playmaker
Mateo Costa,34,Goalkeeper,Bundesliga,27.65,-0.2980416841845106,-1.067751555608924,-0.9861688732117984,1.3624910633382232,1,Deep Lying Playmaker
Enzo Diaz,32,Forward,La Liga,3.13,0.4872853669063557,-0.5114009807734081,0.1577350802911341,-0.6650253999627043,2,Clinical Finisher
Lucas Silva,29,Goalkeeper,Bundesliga,28.07,-0.7309783918371678,0.1155972861047127,-0.5636457912872919,-0.7842910742745237,2,Clinical Finisher
Diego Rodriguez,18,Goalkeeper,Serie A,36.97,3.1352470904563288,0.106766324599387,-0.6048675553774875,0.1102014830641209,3,Ball Playing Defender
Marco Garcia,32,Defender,La Liga,5.92,-1.6572615803033182,0.0449495940621076,0.6936180134636791,-0.4861268884949754,2,Clinical Finisher
Diego Diaz,18,Defender,Ligue 1,24.5,-0.7611832784175858,1.4932272809355134,1.07491933129799,-0.5457597256508852,0,Ball Winning Midfielder
Gabriel Diaz,27,Defender,Serie A,5.55,0.396670707165102,-1.2532017472207626,-1.0376960783245432,1.422123900494133,1,Deep Lying Playmaker
Gabriel Diaz,31,Midfielder,Bundesliga,9.55,-0.3282465707649286,-0.9264561715237136,-1.1510559295725815,1.6010224119618617,1,Deep Lying Playmaker
Marco Garcia,32,Defender,Ligue 1,3.3,1.423636850899312,-0.741005979911875,0.1783459623362319,-0.9035567485863428,3,Ball Playing Defender
Diego Rodriguez,23,Defender,La Liga,27.51,-0.1872904333896449,1.3695938198609547,1.064613890275441,-0.4264940513390658,0,Ball Winning Midfielder
Santi Oliveira,20,Defender,Ligue 1,14.92,-2.331837380599319,0.2480617086845975,-0.8109763758284665,-0.4861268884949754,2,Clinical Finisher
Enzo Fernandez,18,Midfielder,Serie A,30.94,-0.1973587289164509,1.528551126956816,-1.1716668116176796,-0.4264940513390658,2,Clinical Finisher
Leo Oliveira,21,Goalkeeper,Ligue 1,39.19,0.0241437726732806,-1.01476578657697,0.6420908083509344,-0.4264940513390658,2,Clinical Finisher
Mateo Rodriguez,18,Goalkeeper,Premier League,19.29,-0.3685197528721525,1.0693411286798824,0.5287309571028961,-0.3072283770272465,0,Ball Winning Midfielder
Hugo Santos,18,Midfielder,La Liga,9.55,-0.4087929349793764,1.4579034349142113,0.1886514033587809,-0.724658237118614,0,Ball Winning Midfielder
Hugo Diaz,17,Goalkeeper,Ligue 1,9.52,-1.5163054429280345,-1.0059348250716444,-1.089223283437288,1.6010224119618617,1,Deep Lying Playmaker
Mateo Martinez,25,Midfielder,Serie A,35.79,1.7156174211766857,-0.1846554050763591,-0.4399804990167045,0.2294671573759402,3,Ball Playing Defender
Gabriel Diaz,30,Midfielder,La Liga,1.26,0.1147584324145345,0.9457076676053237,-1.4602191602490495,-0.3072283770272465,2,Clinical Finisher
Julian Lopez,22,Defender,Serie A,20.21,-0.3685197528721525,-1.138399247651529,-0.9346416680990538,-0.4861268884949754,2,Clinical Finisher
Lucas Santos,20,Goalkeeper,Ligue 1,26.66,-0.5598173678814661,-0.988272902060993,-1.1098341654823858,0.8854283660909461,1,Deep Lying Playmaker
Enzo Garcia,30,Midfielder,Serie A,7.7,-0.4389978215597944,0.813243245025439,1.4974424132224968,-0.6650253999627043,0,Ball Winning Midfielder
Julian Lopez,27,Forward,Premier League,32.93,0.3563975250578781,0.8220742065307645,-0.2338716785657256,-0.724658237118614,2,Clinical Finisher
Hugo Garcia,32,Midfielder,Bundesliga,25.3,-0.5296124813010481,-1.4474829003379268,-1.2025831346853262,0.5276313431554883,1,Deep Lying Playmaker
Lucas Santos,34,Forward,Serie A,26.05,-0.3987246394525705,1.528551126956816,-0.7594491707157217,-0.2475955398713369,2,Clinical Finisher
Lucas Lopez,21,Forward,Ligue 1,27.96,0.0342120682000866,0.7249336299721825,0.2814003725617215,-0.6650253999627043,0,Ball Winning Midfielder
Mateo Oliveira,28,Defender,Premier League,17.81,-0.026197704960749,-0.7763298259331776,-0.4502859400392535,-0.9035567485863428,2,Clinical Finisher
Enzo Lopez,22,Forward,Ligue 1,19.36,0.2355779787362062,0.6189620919082747,-0.4605913810618024,-0.6053925628067948,2,Clinical Finisher
Lucas Oliveira,19,Forward,Serie A,6.72,0.4973536624331619,0.7779193990041364,-0.532729468219645,-0.1879627027154273,2,Clinical Finisher
Julian Costa,20,Goalkeeper,La Liga,15.98,2.098212651195313,0.4953286308337155,-0.9449471091216028,-0.4264940513390658,3,Ball Playing Defender
Lucas Santos,26,Forward,Serie A,27.13,-0.2879733886577046,0.3275403622325282,-0.0277628581147468,-0.7842910742745237,2,Clinical Finisher
Santi Rodriguez,31,Defender,La Liga,27.95,1.7558906032839094,0.1950759396526436,-0.1926499144755298,-0.1283298655595176,3,Ball Playing Defender
